"seq","corp_cd","option_cd","option_cd_desc","option_val","use_flag","attribute1","attribute2","created_by","creation_date","last_updated_by","last_update_date"
350,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42936200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
351,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42948200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
352,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42953200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
476,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42975200-S",Y,ASC,,1,"2025-02-10 00:26:13",1,"2025-02-10 00:26:13"
353,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42981200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
446,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42988200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
354,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42990200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
447,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43029200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
355,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43032200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
464,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43032201-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
356,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43034200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
357,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43065201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
358,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43068200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
359,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43074200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
448,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43076200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
856,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43079200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
857,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43086200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
360,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43118201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
361,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43136200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
364,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43160200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
449,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43165200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
365,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43176200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
366,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43177200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
474,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43198200-S",Y,ASC,,1,"2025-02-10 00:26:13",1,"2025-02-10 00:26:13"
475,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43213200-S",Y,ASC,,1,"2025-02-10 00:26:13",1,"2025-02-10 00:26:13"
826,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43254200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
827,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43255200-S",N,ASC,,1,"2025-02-28 05:48:48",1,"2025-04-29 00:27:53"
828,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43256200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
465,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43265200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
466,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43270200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
467,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43272200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
468,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43274200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
469,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43276200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
829,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43277200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
830,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43278200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
831,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43281200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
832,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43283200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
833,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43284200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
723,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43285200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
834,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43287200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
835,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43288200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
836,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43289200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
837,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43291200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
838,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43292200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
839,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43293200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
840,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43294200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
853,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43295200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
841,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43299200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
846,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43302200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
842,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43304200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
843,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43306200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
854,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43309200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
855,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"43316200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
